year,max_laden_wt,type,number
2005,32001-40000kg,Recovery Vehicles,0
2005,32001-40000kg,Refrigerated Vehicles,0
2005,32001-40000kg,Others,9
2005,40001-50000kg,Lorries,0
2005,40001-50000kg,Tippers,0
2005,40001-50000kg,Vans,0
2005,40001-50000kg,Goods-cum Passengers,0
2005,40001-50000kg,Articulated Vehicles,3277
2005,40001-50000kg,Cement Mixers,0
2005,40001-50000kg,Tankers,0
2005,40001-50000kg,Cranes,140
2005,40001-50000kg,Recovery Vehicles,2
2005,40001-50000kg,Refrigerated Vehicles,0
2005,40001-50000kg,Others,0
2005,> 55000kg,Lorries,0
2005,> 55000kg,Tippers,0
2005,> 55000kg,Vans,0
2005,> 55000kg,Goods-cum Passengers,0
2005,> 55000kg,Articulated Vehicles,369
2005,> 55000kg,Cement Mixers,0
2005,> 55000kg,Tankers,0
2005,> 55000kg,Cranes,16
2005,> 55000kg,Recovery Vehicles,2
2005,> 55000kg,Refrigerated Vehicles,0
2005,> 55000kg,Others,0
2006,<= 3500 kg,Lorries,29759
2006,<= 3500 kg,Tippers,1
2006,<= 3500 kg,Vans,56745
2006,<= 3500 kg,Goods-cum Passengers,5391
2006,<= 3500 kg,Articulated Vehicles,0
2006,<= 3500 kg,Cement Mixers,0
2006,<= 3500 kg,Tankers,7
2006,<= 3500 kg,Cranes,0
2006,<= 3500 kg,Recovery Vehicles,111
2006,<= 3500 kg,Refrigerated Vehicles,1129
2006,<= 3500 kg,Others,53
2006,3501 - 7000kg,Lorries,14142
2006,3501 - 7000kg,Tippers,289
2006,3501 - 7000kg,Vans,4594
2006,3501 - 7000kg,Goods-cum Passengers,48
2006,3501 - 7000kg,Articulated Vehicles,0
2006,3501 - 7000kg,Cement Mixers,0
2006,3501 - 7000kg,Tankers,12
2006,3501 - 7000kg,Cranes,0
2006,3501 - 7000kg,Recovery Vehicles,109
2006,3501 - 7000kg,Refrigerated Vehicles,1501
2006,3501 - 7000kg,Others,97
2006,7001 - 11000kg,Lorries,3308
2006,7001 - 11000kg,Tippers,119
2006,7001 - 11000kg,Vans,1729
2006,7001 - 11000kg,Goods-cum Passengers,0
2006,7001 - 11000kg,Articulated Vehicles,0
2006,7001 - 11000kg,Cement Mixers,0
2006,7001 - 11000kg,Tankers,64
2006,7001 - 11000kg,Cranes,5
2006,7001 - 11000kg,Recovery Vehicles,98
2006,7001 - 11000kg,Refrigerated Vehicles,148
2006,7001 - 11000kg,Others,49
2006,11001-16000kg,Lorries,1736
2006,11001-16000kg,Tippers,187
2006,11001-16000kg,Vans,269
2006,11001-16000kg,Goods-cum Passengers,0
2006,11001-16000kg,Articulated Vehicles,0
2006,11001-16000kg,Cement Mixers,0
2006,11001-16000kg,Tankers,80
2006,11001-16000kg,Cranes,1
2006,11001-16000kg,Recovery Vehicles,24
2006,11001-16000kg,Refrigerated Vehicles,157
2006,11001-16000kg,Others,265
